edge_id,way_id,name,lat,lon,start_node,end_node
-295514386#5,295514386,Phố Duy Tân,21.0305317,105.7861241,6624890276,cluster_12337414886_12337414889_1707941858_6624890274_#1more
-295514386#6,295514386,Phố Duy Tân,21.0305542,105.7859732,cluster_11397893966_11397893967,6624890276
-295514386#7,295514386,Phố Duy Tân,21.0305821,105.7857814,cluster_5719132650_6624890277,cluster_11397893966_11397893967
-295514386#8,295514386,Phố Duy Tân,21.0306309,105.7854531,6624890278,cluster_5719132650_6624890277
-295514386#9,295514386,Phố Duy Tân,21.0306683,105.7851956,cluster_10225965945_1750743114,6624890278
-331329425#0,331329425,Ngõ 180 Đường Hoàng Quốc Việt,21.0469406,105.7893795,11545491570,11545474468
-331329425#1,331329425,Ngõ 180 Đường Hoàng Quốc Việt,21.0467949,105.7893846,11545511266,11545491570
-331329425#2,331329425,Ngõ 180 Đường Hoàng Quốc Việt,21.0466812,105.7893875,5485710749,11545511266
-331329425#3,331329425,Ngõ 180 Đường Hoàng Quốc Việt,21.046444,105.7893693,cluster_10312567034_3383913932,5485710749
-36207444#0,36207444,Phố Đông Quan,21.0398692,105.8031943,9577449204,cluster_11760045487_422794942
-36207444#1,36207444,Phố Đông Quan,21.039745,105.8035503,5707655734,9577449204
-36207444#2,36207444,Phố Đông Quan,21.0397694,105.8038879,5707655737,5707655734
-36207444#3,36207444,Phố Đông Quan,21.0398285,105.8045874,cluster_10698902483_421488576,5707655737
-36207444#5,36207444,Phố Đông Quan,21.0399159,105.8053085,11058130389,cluster_10698902483_421488576
-37759600#0,37759600,Phố Phùng Chí Kiên,21.0408559,105.8024471,422794468,422607295
-37759600#1,37759600,Phố Phùng Chí Kiên,21.0413077,105.8025089,5703991666,422794468
-37765383#0,37765383,Phố Doãn Kế Thiện,21.0408775,105.7806495,5703573658,442996841
-37765383#1,37765383,Phố Doãn Kế Thiện,21.0408916,105.7804634,11563086825,5703573658
-37765383#2,37765383,Phố Doãn Kế Thiện,21.0409236,105.7800424,5703610563,11563086825
-399346724#1,399346724,Phố Dịch Vọng Hậu,21.0309067,105.7862893,1707941857,cluster_12337414886_12337414889_1707941858_6624890274_#1more
-399346724#2,399346724,Phố Dịch Vọng Hậu,21.031687,105.7866645,1707941870,1707941857
-399346724#3,399346724,Phố Dịch Vọng Hậu,21.0322726,105.7870475,11652224309,1707941870
-399346724#4,399346724,Phố Dịch Vọng Hậu,21.0324276,105.7871581,8323413164,11652224309
-399346724#5,399346724,Phố Dịch Vọng Hậu,21.0327065,105.7873386,11652151254,8323413164
-399346724#6,399346724,Phố Dịch Vọng Hậu,21.0331691,105.7876306,cluster_13096065958_1707941856,11652151254
-399346760#0,399346760,Ngõ 43 Dịch Vọng Hậu,21.0317372,105.7877759,5717110606,1707941881
-399407005#0,399407005,Phố Phan Văn Trường,21.0390462,105.7860584,5707037528,10220846270
-399407005#1,399407005,Phố Phan Văn Trường,21.0387995,105.7860405,cluster_10233223439_5707037526,5707037528
-399407005#11,399407005,Phố Phan Văn Trường,21.0376283,105.7859942,10233217601,cluster_10233217599_5707037523
-399407005#12,399407005,Phố Phan Văn Trường,21.0372561,105.7859857,10233223443,10233217601
-399407005#13,399407005,Phố Phan Văn Trường,21.0369873,105.7859765,5710247311,10233223443
-399407005#14,399407005,Phố Phan Văn Trường,21.0367944,105.7859696,cluster_10261948234_1613087877,5710247311
-399407005#3,399407005,Phố Phan Văn Trường,21.0386494,105.7860328,5707037521,cluster_10233223439_5707037526
-399407005#4,399407005,Phố Phan Văn Trường,21.0384946,105.7860269,5707037519,5707037521
-399407005#5,399407005,Phố Phan Văn Trường,21.0383562,105.786026,5707037517,5707037519
-399407005#6,399407005,Phố Phan Văn Trường,21.0381877,105.7860169,5707037515,5707037517
-399407005#7,399407005,Phố Phan Văn Trường,21.0380423,105.7860108,5707037513,5707037515
-399407005#8,399407005,Phố Phan Văn Trường,21.0379081,105.7860044,5707037511,5707037513
-399407005#9,399407005,Phố Phan Văn Trường,21.0377947,105.7859981,cluster_10233217599_5707037523,5707037511
-399416502#13,399416502,Phố Nghĩa Tân,21.0434297,105.7922107,320220785,320220793
-399416502#14,399416502,Phố Nghĩa Tân,21.0434438,105.7912245,cluster_11755178882_5485835832,320220785
